ncm;cnro_enmienda;ncm_descri
58013300;006;Terciopelos y felpas por trama,ncop.,de fibras sinteticas o artificiales
58109900;006;Bordados de materia textil ncop.,en piezas,tiras o motivos
58110000;006;Productos textiles en piezas,c/una o varias capas de materias textiles combinadas c/materias de relleno,acolchados
85232911;006;Discos magneticos utilizados en unidades de discos rigidos
85232919;006;Discos magneticos excluidos los utilizados en unidades de discos rigidos
85232923;006;Cintas magneticas en rollos o casetes s/grabar,de anchura > a 6,5mm.y <= a 50,8mm.
85232929;006;Cintas magneticas s/grabar ncop.
85177010;006;Circuitos impresos c/componentes electricos o electronicos montados p/aparatos electricos de telefonia o telegrafia c/hilos,de telecomunicacion por corriente portadora o digital
85177021;006;Antenas p/telefonos celulares portatiles,excluido telescopicas
85177099;006;Partes ncop.,p/aparatos electricos de telefonia o telegrafia c/hilos,de telecomunicacion por corriente portadora o digital
85181090;006;Microfonos y sus soportes  ncop.
85182910;006;Altavoces(altoparlantes)piezoelectricos p/aparatos telefonicos
85182990;006;Altavoces(altoparlantes),ncop.
85193000;006;Giradiscos
85198120;006;Aparatos grabadores de sonido de cabina de aeronaves
85198900;006;Aparatos de grabacion y/o reproduccion de sonido ncop.
85171233;006;Telefonos celulares utilizados en vehiculos automoviles excluido telefonia celular por satelite
85171239;006;Telefonos celulares ncop.excluido telefonia celular por satelite
05119999;006;Productos de origen animal,de los capitulos 1 y 3 ncop.
03049900;006;Carnes congeladas de pescados ncop.,excluido filetes
87089483;006;Cajas de vehiculos automoviles ncop.
87089510;006;Bolsas inflables de seguridad con sistema de inflado (airbag) p/vehiculos automotores
87089529;006;Partes ncop.de bolsas inflables de seguridad c/sistema de inflado (airbag) p/vehiculos automotores
90278099;006;Instrumentos y aparatos p/analisis fisicos o quimicos,ncop.
90303321;006;Amperimetros utilizados en vehiculos automotores s/dispositivo registrador
90303390;006;Aparatos p/medida o control de tension,intensidad,resistencia o potencia de magnitudes electricas s/dispositivo registrador
90308410;006;Instrumentos y aparatos c/dispositivo registrador,de prueba automatica de circuitos impresos c/sus componentes montados
95030010;006;Triciclos,patinetes,coches de pedal y similares c/ruedas,coches y sillas de ruedas p/mu?ecas
