CCOD_PAIS;CDESCRI;CCOD_ASOC
295;Mar Territorial Argentino y/o Zona Economica Exclusiva;
398;Indeterminado ( Asia );
452;Federacion Serbia Y Montenegro;
157;Santo Tome y Principe;
206;Costa Rica;
101;Burkina Faso;
224;Trinidad Y Tobago;
235;San Vicente Y Las Granadinas;
315;India;
312;Filipinas;
238;Saint Kitts y Nevis - (San Cristobal Y Nevis);
256;Cordoba (Argentina);200
321;Jordania;
508;Teritorios vinculados al Reino Unido;
250;Tierra Del Fuego (Argentina);200
257;Mendoza (Argentina);200
262;Salta (Argentina);200
280;Colonia (Uruguay);225
145;Territorios Vinculados al Reino Unido de Gran Breta?a e Irlanda del No;
263;Paso de los Libres (Corrientes - Argentina);200
397;Resto ( Asia );
412;Francia;
428;San Marino;
433;Territorios vinculados al Reino Unido de Gran Breta?a e Irlanda del No;
513;Papua  Nueva Guinea;
521;Islas Marianas Septentrionales;
996;Exportaciones e Importaciones Simplificadas;
107;Republica Centroafricana;
121;Lesotho;
258;General Pico (La Pampa - Argentina);200
272;Zona Franca del Pacifico (Colombia);205
451;Republica Checa;
162;Sudan;
289;Punta Pereira (Uruguay);225
163;SUDAN DEL SUR;
314;Gaza;
244;Curazao;
245;San Martin (Parte holandesa);
268;ZF Villa Constitucion;200
209;Republica Dominicana;
222;Peru;
319;Israel;
AME;Demas Paises De America;
OCE;Demas Paises de Oceania;
139;Tanzania, Republica Unida de;
210;Ecuador;
227;Territorios vinculados al Reino Unido de Gran Breta?a e Irlanda del No;
266;Coronel Rosales (Buenos Aires - Argentina);200
265;Sector Antartico Argentino;200
450;Macedonia (ex Republica Yugoslava de);
150;Cabo Verde;
232;Suriname;
211;El Salvador;
504;Nueva Zelandia;
119;Guinea Ecuatorial;
345;Bangladesh;
414;Hungria;
439;Belarus;
317;Iraq;
123;Libia Jamahiriya Arabe;
230;Territorios Holandeses;
212;Estados Unidos;
217;Jamaica;
438;Republica Federal de Alemania;
341;Hong Kong Region Administrativa Especial de (China);310
997;Productos Argentinos a Embajadas Extranjeras;
406;Belgica;
430;Suiza;
518;Islas Salomon;
120;Kenya;
291;Manaos (Brasil);203
355;Turkmenistan;
431;Santa Sede (Vaticano);
102;Argelia;
